firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0237.vcc,0241.vcc,0242.vcc,0235.ReadRate,0237.ReadRate,0241.ReadRate,0242.ReadRate,0235.peak_rssi,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
1280,0,3,1,10,26.1892529,3198,3046,0,3354,7.83252418463179,8.81158970771076,0,26.4347691231323,-23,-26,0,-20
1280,0,3,1,10,17.0261774,3120,3082,0,3316,8.89043340961654,12.8417371472239,0,35.5617336384662,-22,-25,0,-20
1280,0,4,0,10,15.0386737,3100,2968,3334,3284,10.3107332800183,1.28884166000228,1.28884166000228,15.4660999200274,-24,-24,-20,-20
1280,0,3,1,10,17.914404,3166,3050,0,3300,0.984464752420897,16.7359007911553,0,17.7203655435762,-24,-25,0,-20
1280,0,3,1,10,17.1690097,3116,3082,3280,3316,6.3830588511643,38.2983531069858,1.27661177023286,43.4048001879173,-23,-25,-19,-19
1280,0,3,1,10,17.0516709,3140,3022,3250,3316,5.7079080783262,5.7079080783262,1.90263602610873,13.3184521827611,-23,-25,-20,-20
1280,0,3,1,10,16.9397702,3218,3092,3280,3288,1.24049286270027,9.92394290160212,1.24049286270027,26.0503501167056,-25,-24,-20,-19
1280,0,2,2,10,18.2115939,3160,2706,3280,3226,3.72141972906948,3.72141972906948,1.86070986453474,24.1892282389516,-23,-26,-19,-19
1280,0,3,1,10,14.7558155,3214,3054,0,3316,10.8990637704221,6.93576785390499,0,3.96329591651714,-24,-24,0,-19
1280,0,3,1,10,17.0202385,3164,3022,3288,3316,3.86454213033658,5.15272284044877,1.28818071011219,15.4581685213463,-23,-25,-19,-19
1280,0,3,1,10,19.1785527,3108,2992,3276,3324,17.7685606894709,2.53836581278156,1.26918290639078,12.6918290639078,-24,-24,-19,-19
1280,0,3,1,10,15.8024402,3174,3124,3260,3296,3.68088155640923,11.0426446692277,1.84044077820462,9.20220389102308,-22,-24,-19,-19
1280,0,3,1,10,26.9907535,3148,2920,3304,3320,1.81923498985595,3.63846997971189,12.7346449289916,23.6500548681273,-23,-26,-21,-20
1280,0,2,2,10,18.4248972,3100,2964,0,3334,6.7660672833196,3.86632416189691,0,13.5321345666392,-24,-25,0,-20
1280,0,2,2,10,16.3670624,3140,2928,0,3308,4.9309319431787,7.88949110908592,0,26.627032493165,-23,-26,0,-20
1280,0,3,1,10,17.7389419,3164,3014,3332,3276,2.30040480223305,16.1028336156313,1.15020240111652,20.7036432200974,-23,-24,-20,-19
1280,0,2,2,10,17.0511521,3140,2976,3342,3316,7.63968884565957,7.63968884565957,1.27328147427659,15.2793776913191,-24,-26,-20,-20
1280,0,3,1,10,25.838511,3152,2992,3238,3308,3.68711713897408,1.84355856948704,1.84355856948704,22.1227028338445,-24,-23,-20,-19
1280,0,3,1,10,18.2469272,3156,2968,0,3308,1.9904965731611,14.9287242987083,0,13.9334760121277,-23,-25,0,-20
1280,0,3,1,10,16.2237739,3218,2924,3324,3296,3.79225712110042,1.89612856055021,1.89612856055021,13.2728999238515,-24,-24,-19,-19
1280,0,3,1,10,18.4212804,2862,2854,3300,3256,3.74842589540055,11.2452776862016,1.87421294770028,3.74842589540055,-24,-25,-19,-19
1280,0,3,1,10,19.3814258,3218,3078,0,3304,13.9347533046019,5.97203713054366,0,16.9207718698737,-25,-23,0,-19
1280,0,3,1,10,18.7690146,3156,3070,0,3316,9.91761732814034,9.91761732814034,0,15.8681877250245,-23,-25,0,-21
1280,0,4,0,10,17.4093998,3136,2914,3320,3250,3.57973163109935,14.3189265243974,1.78986581554967,25.0581214176954,-23,-24,-19,-19
1280,0,2,2,10,16.817671,3178,3082,0,3342,6.9110683721867,17.7713186713372,0,17.7713186713372,-24,-25,0,-20
1280,0,3,1,10,19.5487099,3160,3078,3292,3312,1.84617384163669,5.53852152491006,1.84617384163669,16.6155645747302,-23,-26,-19,-20
1280,0,3,1,10,21.855185,3116,2960,3288,3304,1.8363361714521,11.0180170287126,1.8363361714521,14.6906893716168,-23,-24,-20,-19
1280,0,3,1,10,16.9385136,3152,2936,3350,3338,3.75381223093378,5.63071834640067,1.87690611546689,3.75381223093378,-24,-25,-19,-19
1280,0,2,2,10,20.75397,3178,3014,3268,3320,3.81283625641248,1.90641812820624,1.90641812820624,9.53209064103119,-23,-24,-21,-20
1280,0,3,1,10,20.981975,3206,3074,0,3338,6.88774897736607,3.9358565584949,0,20.6632469320982,-23,-25,0,-19
1280,0,3,1,10,19.8347925,3210,3058,0,3332,2.95264692494125,8.85794077482377,0,26.5738223244713,-22,-25,0,-21
1280,0,3,1,10,22.7473889,3116,2862,3358,3234,10.03889318191,5.01944659095501,1.25486164773875,18.8229247160813,-24,-25,-20,-20
1280,0,1,1,10,24.9889739,3194,3074,0,3242,14.710356031805,1.96138080424066,0,7.84552321696265,-23,-24,0,-20
1280,0,3,1,10,19.5782326,3160,3050,3260,3300,4.93622073726077,13.163255299362,1.64540691242026,21.3902898614633,-23,-24,-20,-21
1280,0,2,2,10,19.1476711,3210,3078,0,3332,15.7946958055112,9.87168487844451,0,13.8203588298223,-24,-25,0,-20
1280,0,3,1,10,20.2617751,3140,2988,3280,3296,7.01334323617398,3.50667161808699,1.7533358090435,38.5733877989569,-23,-26,-19,-19
1280,0,2,2,10,23.2972512,3148,2988,0,3320,11.4607324267576,5.73036621337878,0,21.966403817952,-24,-25,0,-20
1280,0,3,1,10,19.3984979,3170,2976,0,3350,5.96737457299705,10.9401867171613,0,26.8531855784867,-23,-24,0,-20
1280,0,2,2,10,19.8337945,3198,2980,3342,3324,7.76930146987415,4.66158088192449,1.55386029397483,9.32316176384898,-24,-25,-20,-20
1280,0,3,1,10,19.6062259,3160,3066,3304,3332,1.27186074244108,10.1748859395286,1.27186074244108,12.7186074244108,-23,-25,-20,-20
1280,0,3,1,10,19.5545582,3202,3088,0,3268,8.91192875526893,8.91192875526893,0,11.8825716736919,-23,-25,0,-20
1280,0,3,1,10,20.0620937,3214,3152,0,3296,13.823557494496,11.8487635667109,0,15.7983514222811,-24,-25,0,-20
1280,0,4,0,10,20.8140764,3074,2964,3332,3308,9.92609772094315,11.166859936061,1.24076221511789,23.57448208724,-24,-25,-21,-21
1280,0,3,1,10,21.3810452,3170,3000,3222,3284,3.17183662821079,3.17183662821079,1.5859183141054,11.1014281987378,-24,-23,-19,-20
1280,0,3,1,10,21.4801844,3144,2996,0,3308,5.91963795494268,7.89285060659023,0,14.7990948873567,-24,-26,0,-20
1280,0,3,1,10,21.3448597,3206,3066,0,3312,10.9543673917562,8.96266422961868,0,20.9128832024436,-24,-24,0,-20
1280,0,3,1,10,22.881498,3238,2952,3288,3320,2.58341224581323,2.58341224581323,1.29170612290661,11.6253551061595,-24,-26,-20,-20
1280,0,3,1,10,20.2888218,3148,3084,3242,3304,7.03951703281541,8.4474204393785,1.40790340656308,8.4474204393785,-23,-25,-20,-20
1280,0,4,0,10,20.7731867,3160,2956,3308,3292,1.28706025655744,1.28706025655744,1.28706025655744,16.7317833352468,-24,-23,-20,-20
1280,0,3,1,10,26.1552196,3194,3084,0,3308,2.98473249633475,8.95419748900425,0,27.8575032991243,-23,-25,0,-21
1280,0,3,1,10,20.9770394,3174,3006,3342,3328,1.26636988866203,7.59821933197215,3.79910966598608,17.7291784412684,-23,-25,-20,-20
1280,0,3,1,10,23.3907203,3152,2948,0,3296,1.99647621947263,14.9735716460447,0,12.9770954265721,-23,-25,0,-20
1280,0,4,0,10,25.7927247,3160,3062,3320,3250,8.80876533812501,5.50547833632813,1.10109566726563,68.2679313704688,-24,-24,-20,-19
1280,0,3,1,10,25.6516188,3082,3112,3358,3328,8.27077012655726,13.4400014556555,1.03384626581966,14.4738477214752,-23,-25,-19,-19
1280,0,3,1,10,27.8943815,3152,2968,0,3320,3.99018812739474,6.98282922294079,0,19.9509406369737,-24,-25,0,-20
1280,0,3,1,10,26.4468707,3218,3078,0,3332,3.97629689656986,14.911113362137,0,3.97629689656986,-24,-24,0,-20
1280,0,3,1,10,24.2170793,3100,3104,3308,3328,6.07721121153095,1.21544224230619,2.43088448461238,8.50809569614333,-24,-24,-20,-19
1280,0,3,1,10,24.6412113,3084,2902,3332,3296,6.11475611723259,1.22295122344652,1.22295122344652,4.89180489378607,-24,-25,-20,-19
1280,0,3,1,10,28.9596145,3190,3152,3362,3252,2.3605134258332,8.2617969904162,1.1802567129166,3.5407701387498,-23,-26,-20,-19
1280,0,3,1,10,25.8400548,3148,2996,0,3328,5.96821863892586,5.96821863892586,0,16.9099528102899,-24,-25,0,-20
1280,0,3,1,10,26.0389599,3156,2944,3328,3300,1.223430305274,1.223430305274,1.223430305274,4.893721221096,-23,-24,-20,-19
1280,0,2,2,10,29.8790179,3174,3144,3272,3280,1.15817027164536,2.31634054329073,2.31634054329073,2.31634054329073,-24,-24,-20,-20
1280,0,2,2,10,28.081739,3210,0,0,3296,0.993776968622486,0,0,25.8382011841846,-23,0,0,-20
1280,0,3,1,10,28.5927564,3144,3026,0,3300,1.97771745300053,6.92201108550187,0,19.7771745300053,-23,-24,0,-20
1280,0,1,3,10,31.5572369,0,3112,0,3276,0,1.98163755195234,0,30.7153820552613,0,-24,0,-20
1280,0,1,0,10,34.551232,3144,2902,3222,3334,2.06609563915392,6.19828691746175,1.03304781957696,15.4957172936544,-23,-25,-20,-19
1280,0,2,2,10,31.2346532,3066,2914,3312,3304,1.0483036298247,1.0483036298247,1.0483036298247,13.6279471877211,-23,-25,-19,-19
1280,0,1,3,10,29.8742944,3136,2854,3308,3284,5.83428302495906,7.77904403327875,0.972380504159844,28.1990346206355,-24,-26,-20,-20
1280,0,0,4,7,21.3062129,3194,3026,3338,3304,1.01880769953731,4.07523079814923,1.01880769953731,18.3385385916716,-23,-25,-20,-19
1280,0,0,4,5,17.0880806,3136,0,3358,3328,6.86854295635826,0,11.7746450680427,4.90610211168447,-23,0,-20,-19
1280,0,0,4,4,11.7762192,3112,0,3378,3296,0.979359892333091,0,3.91743956933236,12.7316786003302,-23,0,-20,-20
1280,0,0,4,3,8.3687351,0,3186,0,3268,0,0.971689628340377,0,10.6885859117442,0,-26,0,-20
1280,0,1,3,10,29.3628269,0,0,0,3346,0,0,0,2.95599440686445,0,0,0,-20
1280,0,0,4,6,17.2755652,0,0,0,3272,0,0,0,1.96844097014613,0,0,0,-19
1280,0,0,4,1,4.5476124,0,2890,0,3312,0,0.984322983144355,0,6.89026088201048,0,-24,0,-19
1280,0,0,4,8,20.5520287,0,0,0,3268,0,0,0,1.94461332871034,0,0,0,-20
1280,0,0,4,0,1.0097874,0,0,0,0,0,0,0,0,0,0,0,0
1280,0,0,4,0,1.001754,0,0,0,0,0,0,0,0,0,0,0,0
1280,0,0,4,3,11.0854563,3100,2910,0,3346,0.983752830133923,3.93501132053569,0,2.95125849040177,-23,-26,0,-20
