firmware_size,done,not_done,missing,attempts,duration_sec,0237.vcc,0239.vcc,0241.vcc,0242.vcc,0237.ReadRate,0239.ReadRate,0241.ReadRate,0242.ReadRate,0237.peak_rssi,0239.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,4,0,0,0,0.7169856,3480,3414,3530,3440,1.85062324364288,3.69852371576623,7.38715974973041,20.3077397965608,-20,-20,-18,-19
407,4,0,0,2,16.5001189,3484,3414,3534,3386,27.9076201956284,1.98748836325563,9.923133423872,93.1542525411786,-20,-20,-19,-18
407,4,0,0,2,15.2014742,3476,3406,3518,3428,2.6383950326409,13.1792207970213,5.26397658162098,7.89057975245673,-22,-22,-18,-20
407,4,0,0,5,35.0288548,3472,3406,3526,3436,20.2188794798087,2.52406506736856,5.03934849286945,15.0542517597793,-21,-20,-18,-18
407,4,0,0,3,18.025127,3476,3406,3530,3362,2.59622991069748,2.59100919808265,10.3463170990996,18.0796330351055,-21,-20,-19,-19
407,4,0,0,8,52.7673716,3472,3402,3546,3256,2.67960163970184,2.65123365878994,13.219889058691,31.4094684889742,-19,-19,-18,-18
407,4,0,0,2,15.646641,3460,3402,3472,3394,5.86858363298973,13.664018189541,1.94861046536325,66.2472178604058,-20,-20,-18,-18
407,4,0,0,4,22.246392,3476,3394,3514,3464,9.07075346440421,2.26316539891685,2.26293903280175,45.2459615716999,-20,-20,-20,-19
407,4,0,0,8,43.436913,3464,3394,3472,3406,22.0117141451188,2.4419428096994,2.43829290237319,19.3838691802053,-20,-20,-19,-19
407,4,0,0,9,53.3608416,3472,3406,3526,3414,5.36556679701417,2.65783415221204,7.93795272790392,56.8148509888496,-21,-20,-18,-19
407,4,0,0,1,8.9912518,3464,3402,3526,3414,2.77966408871354,2.77218028375483,2.76137597155562,21.8199770071992,-22,-21,-17,-18
407,4,0,0,2,17.9585328,3460,3386,3506,3444,2.51630186161044,42.7709539935491,7.52972358384724,22.5386933017257,-21,-21,-17,-18
407,4,0,0,1,14.1633044,3464,3398,3518,3420,2.57489798897892,10.2761826858653,17.9320687126132,17.903399395172,-22,-23,-18,-19
407,4,0,0,8,46.5168695,3472,3386,3534,3288,2.20911383165934,2.20643444826672,10.9657900248594,34.2499402231512,-21,-21,-20,-19
407,4,0,0,7,41.3821524,3420,3120,3510,3416,62.4029504114955,35.3058284315344,4.14683013194591,102.857653031102,-20,-21,-19,-19
407,4,0,0,1,10.1241465,3468,3402,3518,3398,2.50426350862343,4.99663351816714,12.4301178772939,24.832646586492,-21,-22,-19,-19
407,4,0,0,6,43.98218,3472,3406,3522,3420,2.18032747210435,23.9175774190238,36.8706132103503,49.3709073127759,-20,-21,-19,-19
407,4,0,0,6,29.2285349,3476,3394,3546,3112,2.25296772173145,2.25010502365198,6.73941642045332,31.4154218305766,-20,-20,-19,-19
407,0,2,2,10,51.4607254,3480,3108,3514,3420,2.31339946417042,20.6233144736942,4.56784946560729,41.0189564549595,-21,-21,-18,-19
407,4,0,0,10,60.3289742,3464,3402,3522,3414,14.2766704520239,4.07078359938279,4.06307270279456,26.3725973295919,-22,-21,-17,-18
407,4,0,0,4,29.2013515,3464,3394,3522,3410,2.16040394368778,8.5059961956932,14.8609608502847,118.648894192306,-20,-21,-19,-18
407,4,0,0,3,28.8711322,3472,3332,3514,3468,13.4204049204573,29.4570056257525,5.35525417375122,18.7186145658097,-21,-21,-18,-18
407,4,0,0,1,12.1147164,3464,3398,3506,3420,3.77010644895559,9.39921708281387,3.75092225801019,81.9129961111805,-20,-22,-18,-20
407,4,0,0,1,12.4098888,3472,3362,3510,3424,2.39698248668716,16.6441218073899,9.3821040118815,25.7561598783185,-21,-21,-18,-20
407,4,0,0,4,23.431984,3460,3398,3476,3402,2.49742889695059,9.95712709998922,2.46653102390389,41.8629196234406,-20,-20,-18,-18
407,4,0,0,6,38.6351375,3460,3402,3522,3468,19.9291093111646,8.4813733492067,16.8720842929331,16.7947123527629,-22,-22,-18,-19
407,4,0,0,2,17.9461489,3464,3394,3534,3390,5.70189143142563,2.84459494248087,8.53273141549766,138.976931247545,-22,-20,-18,-20
407,4,0,0,6,43.0283504,3464,3398,3526,3378,2.16178542723149,15.101761059505,6.4597800100385,38.7533979194592,-22,-21,-18,-19
407,4,0,0,3,22.1728681,3464,3390,3538,3452,2.11848069343805,14.7979748759983,37.9765743610863,101.148669578905,-19,-19,-19,-18
407,4,0,0,10,55.5934738,3464,3402,3522,3464,12.2587087705913,2.41299639860288,25.9867647044927,82.4223504923323,-21,-21,-18,-20
407,4,0,0,6,45.205176,3468,3406,3522,3432,12.567967568611,2.51323469389807,20.1006035206207,22.6093330824535,-21,-20,-17,-18
407,4,0,0,6,33.4891551,3460,3398,3472,3410,2.4709050925354,2.47039234771266,4.94017570722938,19.7586139529898,-20,-20,-20,-18
407,4,0,0,4,31.3006006,3472,3370,3514,3420,2.68052534007825,16.0803933907439,5.35944023862372,24.1144310133018,-20,-21,-20,-18
407,4,0,0,4,29.0830649,3460,3394,3514,3410,18.4786781462375,4.6188715080754,2.30925549602808,48.4881286052944,-20,-21,-19,-19
407,4,0,0,4,27.0449245,3464,3410,3526,3468,2.58749551392965,5.16413559470831,7.74391992580292,20.6475803874828,-22,-22,-17,-19
407,4,0,0,3,20.6483457,3468,3410,3522,3398,2.55698627460908,7.66995273008132,2.55643065017189,17.8926177104197,-21,-21,-17,-18
407,4,0,0,1,10.6499503,3472,3406,3530,3420,17.6585739944703,2.52195805832432,7.56422595149768,2.52060785970902,-21,-20,-18,-19
407,4,0,0,6,42.2203708,3460,3394,3496,3350,5.09144489605561,5.09044835905579,2.54493722912324,63.6155786918347,-21,-20,-18,-18
407,4,0,0,4,32.2217186,3468,3410,3476,3444,41.2252433319988,31.4410801413784,2.41812471526582,87.03636814643,-20,-21,-19,-19
407,4,0,0,4,29.7919846,3460,3394,3488,3354,13.5724128945161,2.26166311397086,4.52291910103365,6.78286620864232,-20,-21,-19,-19
407,4,0,0,6,43.1383383,3456,3386,3518,3010,2.72201799526097,13.6077193870539,10.8847387798752,27.2072049031736,-21,-21,-19,-20
407,4,0,0,3,23.9399715,3460,3394,3522,3378,2.09744740650628,4.18829923220099,8.3752041194279,43.9623564995413,-20,-20,-20,-20
407,4,0,0,2,20.2876642,3464,3402,3502,3420,13.2692763440914,5.30676976658969,2.65308147454023,37.1387165549278,-21,-20,-17,-18
407,4,0,0,6,38.706539,3468,3410,3496,3444,8.86669260174253,2.21637345892783,11.0808333495852,26.591348150328,-21,-19,-17,-18
407,4,0,0,1,11.9150431,3464,3402,3526,3414,17.6901872026153,2.52655919020746,10.1044063042401,30.2869384549219,-20,-20,-18,-18
407,4,0,0,1,9.8500354,3452,3402,3518,3424,13.2647633499895,2.65237214903149,42.4298852775458,18.5594917880877,-21,-20,-17,-18
407,4,0,0,1,10.0042426,3468,3398,3518,3420,2.66595077001989,2.66558337358364,15.9918207167641,15.988616105333,-21,-21,-18,-20
407,4,0,0,3,21.2693917,3468,3402,3506,3424,13.2283811213011,2.64520453515027,2.64484912987108,97.8417174870651,-20,-21,-18,-20
407,4,0,0,10,56.090354,3476,3394,3534,3108,30.2886978888778,2.32961108074851,25.6237042558643,51.2436484080112,-20,-19,-17,-19
407,4,0,0,5,35.9101424,3448,3382,3506,3448,18.9644444060473,8.42689823783024,2.10648181305732,35.8040214234415,-21,-21,-17,-18
407,4,0,0,3,22.7630873,3464,3402,3510,3460,8.58783194385791,2.14207987387434,23.5584024576125,25.6982371651761,-19,-19,-19,-18
407,4,0,0,6,40.8444988,3468,3398,3522,3420,2.7593316457261,2.75086741726835,2.75002392520815,13.7464791830193,-20,-21,-18,-19
407,0,1,3,10,59.4333368,3444,3402,3518,3342,3.57675538212266,3.57580126554758,7.15019630863965,21.446348919944,-21,-20,-19,-18
407,4,0,0,1,14.2012207,3484,3414,3518,3420,45.0973412016919,5.63618747988586,2.81775308424208,5.6348948754012,-21,-21,-18,-18
407,4,0,0,3,22.0019901,3468,3402,3518,3416,15.7928192682924,2.6316703632863,10.525351888827,42.0957362281168,-20,-20,-18,-18
